,Clase,Sobrevivió,Nombre,Sexo,Edad,Ticket,Tarifa,Cabina,Bote de Rescate,Cuerpo,Destino
0,1,1,"Allen, Miss. Elisabeth Walton",Mujer,29.0,24160,211.0,B5,2,Desconocido,"St Louis, MO"
1,1,1,"Allison, Master. Hudson Trevor",Hombre,0.0,113781,151.0,C22 C26,11,Desconocido,"Montreal, PQ / Chesterville, ON"
2,1,0,"Allison, Miss. Helen Loraine",Mujer,2.0,113781,151.0,C22 C26,Desconocido,Desconocido,"Montreal, PQ / Chesterville, ON"
3,1,0,"Allison, Mr. Hudson Joshua Creighton",Hombre,30.0,113781,151.0,C22 C26,Desconocido,135.0,"Montreal, PQ / Chesterville, ON"
4,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",Mujer,25.0,113781,151.0,C22 C26,Desconocido,Desconocido,"Montreal, PQ / Chesterville, ON"
5,1,1,"Anderson, Mr. Harry",Hombre,48.0,19952,26.0,E12,3,Desconocido,"New York, NY"
6,1,1,"Andrews, Miss. Kornelia Theodosia",Mujer,63.0,13502,77.0,D7,10,Desconocido,"Hudson, NY"
7,1,0,"Andrews, Mr. Thomas Jr",Hombre,39.0,112050,0.0,A36,Desconocido,Desconocido,"Belfast, NI"
8,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",Mujer,53.0,11769,51.0,C101,D,Desconocido,"Bayside, Queens, NY"
9,1,0,"Artagaveytia, Mr. Ramon",Hombre,71.0,PC 17609,49.0,Desconocida,Desconocido,22.0,"Montevideo, Uruguay"
10,1,0,"Astor, Col. John Jacob",Hombre,47.0,PC 17757,227.0,C62 C64,Desconocido,124.0,"New York, NY"
11,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",Mujer,18.0,PC 17757,227.0,C62 C64,4,Desconocido,"New York, NY"
12,1,1,"Aubart, Mme. Leontine Pauline",Mujer,24.0,PC 17477,69.0,B35,9,Desconocido,"Paris, France"
13,1,1,"Barber, Miss. Ellen ""Nellie""",Mujer,26.0,19877,78.0,Desconocida,6,Desconocido,Desconocido
14,1,1,"Barkworth, Mr. Algernon Henry Wilson",Hombre,80.0,27042,30.0,A23,B,Desconocido,"Hessle, Yorks"
15,1,0,"Baumann, Mr. John D",Hombre,0.0,PC 17318,25.0,Desconocida,Desconocido,Desconocido,"New York, NY"
16,1,0,"Baxter, Mr. Quigg Edmond",Hombre,24.0,PC 17558,247.0,B58 B60,Desconocido,Desconocido,"Montreal, PQ"
17,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Mujer,50.0,PC 17558,247.0,B58 B60,6,Desconocido,"Montreal, PQ"
18,1,1,"Bazzani, Miss. Albina",Mujer,32.0,11813,76.0,D15,8,Desconocido,Desconocido
19,1,0,"Beattie, Mr. Thomson",Hombre,36.0,13050,75.0,C6,A,Desconocido,"Winnipeg, MN"
20,1,1,"Beckwith, Mr. Richard Leonard",Hombre,37.0,11751,52.0,D35,5,Desconocido,"New York, NY"
21,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",Mujer,47.0,11751,52.0,D35,5,Desconocido,"New York, NY"
22,1,1,"Behr, Mr. Karl Howell",Hombre,26.0,111369,30.0,C148,5,Desconocido,"New York, NY"
23,1,1,"Bidois, Miss. Rosalie",Mujer,42.0,PC 17757,227.0,Desconocida,4,Desconocido,Desconocido
24,1,1,"Bird, Miss. Ellen",Mujer,29.0,PC 17483,221.0,C97,8,Desconocido,Desconocido
25,1,0,"Birnbaum, Mr. Jakob",Hombre,25.0,13905,26.0,Desconocida,Desconocido,148.0,"San Francisco, CA"
26,1,1,"Bishop, Mr. Dickinson H",Hombre,25.0,11967,91.0,B49,7,Desconocido,"Dowagiac, MI"
27,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",Mujer,19.0,11967,91.0,B49,7,Desconocido,"Dowagiac, MI"
28,1,1,"Bissette, Miss. Amelia",Mujer,35.0,PC 17760,135.0,C99,8,Desconocido,Desconocido
29,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",Hombre,28.0,110564,26.0,C52,D,Desconocido,"Stockholm, Sweden / Washington, DC"
30,1,0,"Blackwell, Mr. Stephen Weart",Hombre,45.0,113784,35.0,T,Desconocido,Desconocido,"Trenton, NJ"
31,1,1,"Blank, Mr. Henry",Hombre,40.0,112277,31.0,A31,7,Desconocido,"Glen Ridge, NJ"
32,1,1,"Bonnell, Miss. Caroline",Mujer,30.0,36928,164.0,C7,8,Desconocido,"Youngstown, OH"
33,1,1,"Bonnell, Miss. Elizabeth",Mujer,58.0,113783,26.0,C103,8,Desconocido,"Birkdale, England Cleveland, Ohio"
34,1,0,"Borebank, Mr. John James",Hombre,42.0,110489,26.0,D22,Desconocido,Desconocido,"London / Winnipeg, MB"
35,1,1,"Bowen, Miss. Grace Scott",Mujer,45.0,PC 17608,262.0,Desconocida,4,Desconocido,"Cooperstown, NY"
36,1,1,"Bowerman, Miss. Elsie Edith",Mujer,22.0,113505,55.0,E33,6,Desconocido,"St Leonards-on-Sea, England Ohio"
37,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",Hombre,0.0,111427,26.0,Desconocida,9,Desconocido,"Los Angeles, CA"
38,1,0,"Brady, Mr. John Bertram",Hombre,41.0,113054,30.0,A21,Desconocido,Desconocido,"Pomeroy, WA"
39,1,0,"Brandeis, Mr. Emil",Hombre,48.0,PC 17591,50.0,B10,Desconocido,208.0,"Omaha, NE"
40,1,0,"Brewe, Dr. Arthur Jackson",Hombre,0.0,112379,39.0,Desconocida,Desconocido,Desconocido,"Philadelphia, PA"
41,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",Mujer,44.0,PC 17610,27.0,B4,6,Desconocido,"Denver, CO"
42,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",Mujer,59.0,11769,51.0,C101,D,Desconocido,"Belmont, MA"
43,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Mujer,60.0,11813,76.0,D15,8,Desconocido,"Philadelphia, PA"
44,1,1,"Burns, Miss. Elizabeth Margaret",Mujer,41.0,16966,134.0,E40,3,Desconocido,Desconocido
45,1,0,"Butt, Major. Archibald Willingham",Hombre,45.0,113050,26.0,B38,Desconocido,Desconocido,"Washington, DC"
46,1,0,"Cairns, Mr. Alexander",Hombre,0.0,113798,31.0,Desconocida,Desconocido,Desconocido,Desconocido
47,1,1,"Calderhead, Mr. Edward Pennington",Hombre,42.0,PC 17476,26.0,E24,5,Desconocido,"New York, NY"
48,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",Mujer,53.0,PC 17606,27.0,Desconocida,6,Desconocido,"Washington, DC"
49,1,1,"Cardeza, Mr. Thomas Drake Martinez",Hombre,36.0,PC 17755,512.0,B51 B53 B55,3,Desconocido,"Austria-Hungary / Germantown, Philadelphia, PA"
50,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Mujer,58.0,PC 17755,512.0,B51 B53 B55,3,Desconocido,"Germantown, Philadelphia, PA"
51,1,0,"Carlsson, Mr. Frans Olof",Hombre,33.0,695,5.0,B51 B53 B55,Desconocido,Desconocido,"New York, NY"
52,1,0,"Carrau, Mr. Francisco M",Hombre,28.0,113059,47.0,Desconocida,Desconocido,Desconocido,"Montevideo, Uruguay"
53,1,0,"Carrau, Mr. Jose Pedro",Hombre,17.0,113059,47.0,Desconocida,Desconocido,Desconocido,"Montevideo, Uruguay"
54,1,1,"Carter, Master. William Thornton II",Hombre,11.0,113760,120.0,B96 B98,4,Desconocido,"Bryn Mawr, PA"
55,1,1,"Carter, Miss. Lucile Polk",Mujer,14.0,113760,120.0,B96 B98,4,Desconocido,"Bryn Mawr, PA"
56,1,1,"Carter, Mr. William Ernest",Hombre,36.0,113760,120.0,B96 B98,C,Desconocido,"Bryn Mawr, PA"
57,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",Mujer,36.0,113760,120.0,B96 B98,4,Desconocido,"Bryn Mawr, PA"
58,1,0,"Case, Mr. Howard Brown",Hombre,49.0,19924,26.0,Desconocida,Desconocido,Desconocido,"Ascot, Berkshire / Rochester, NY"
59,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Mujer,0.0,17770,27.0,Desconocida,5,Desconocido,"New York, NY"
60,1,0,"Cavendish, Mr. Tyrell William",Hombre,36.0,19877,78.0,C46,Desconocido,172.0,"Little Onn Hall, Staffs"
61,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Mujer,76.0,19877,78.0,C46,6,Desconocido,"Little Onn Hall, Staffs"
62,1,0,"Chaffee, Mr. Herbert Fuller",Hombre,46.0,W.E.P. 5734,61.0,E31,Desconocido,Desconocido,"Amenia, ND"
63,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Mujer,47.0,W.E.P. 5734,61.0,E31,4,Desconocido,"Amenia, ND"
64,1,1,"Chambers, Mr. Norman Campbell",Hombre,27.0,113806,53.0,E8,5,Desconocido,"New York, NY / Ithaca, NY"
65,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Mujer,33.0,113806,53.0,E8,5,Desconocido,"New York, NY / Ithaca, NY"
66,1,1,"Chaudanson, Miss. Victorine",Mujer,36.0,PC 17608,262.0,B61,4,Desconocido,Desconocido
67,1,1,"Cherry, Miss. Gladys",Mujer,30.0,110152,86.0,B77,8,Desconocido,"London, England"
68,1,1,"Chevre, Mr. Paul Romaine",Hombre,45.0,PC 17594,29.0,A9,7,Desconocido,"Paris, France"
69,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",Mujer,0.0,113505,55.0,E33,6,Desconocido,"St Leonards-on-Sea, England Ohio"
70,1,0,"Chisholm, Mr. Roderick Robert Crispin",Hombre,0.0,112051,0.0,Desconocida,Desconocido,Desconocido,"Liverpool, England / Belfast"
71,1,0,"Clark, Mr. Walter Miller",Hombre,27.0,13508,136.0,C89,Desconocido,Desconocido,"Los Angeles, CA"
72,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",Mujer,26.0,13508,136.0,C89,4,Desconocido,"Los Angeles, CA"
73,1,1,"Cleaver, Miss. Alice",Mujer,22.0,113781,151.0,Desconocida,11,Desconocido,Desconocido
74,1,0,"Clifford, Mr. George Quincy",Hombre,0.0,110465,52.0,A14,Desconocido,Desconocido,"Stoughton, MA"
75,1,0,"Colley, Mr. Edward Pomeroy",Hombre,47.0,5727,25.0,E58,Desconocido,Desconocido,"Victoria, BC"
76,1,1,"Compton, Miss. Sara Rebecca",Mujer,39.0,PC 17756,83.0,E49,14,Desconocido,"Lakewood, NJ"
77,1,0,"Compton, Mr. Alexander Taylor Jr",Hombre,37.0,PC 17756,83.0,E52,Desconocido,Desconocido,"Lakewood, NJ"
78,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Mujer,64.0,PC 17756,83.0,E45,14,Desconocido,"Lakewood, NJ"
79,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Mujer,55.0,11770,25.0,C101,2,Desconocido,"New York, NY"
80,1,0,"Crafton, Mr. John Bertram",Hombre,0.0,113791,26.0,Desconocida,Desconocido,Desconocido,"Roachdale, IN"
81,1,0,"Crosby, Capt. Edward Gifford",Hombre,70.0,WE/P 5735,71.0,B22,Desconocido,269.0,"Milwaukee, WI"
82,1,1,"Crosby, Miss. Harriet R",Mujer,36.0,WE/P 5735,71.0,B22,7,Desconocido,"Milwaukee, WI"
83,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Mujer,64.0,112901,26.0,B26,7,Desconocido,"Milwaukee, WI"
84,1,0,"Cumings, Mr. John Bradley",Hombre,39.0,PC 17599,71.0,C85,Desconocido,Desconocido,"New York, NY"
85,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mujer,38.0,PC 17599,71.0,C85,4,Desconocido,"New York, NY"
86,1,1,"Daly, Mr. Peter Denis ",Hombre,51.0,113055,26.0,E17,5 9,Desconocido,"Lima, Peru"
87,1,1,"Daniel, Mr. Robert Williams",Hombre,27.0,113804,30.0,Desconocida,3,Desconocido,"Philadelphia, PA"
88,1,1,"Daniels, Miss. Sarah",Mujer,33.0,113781,151.0,Desconocida,8,Desconocido,Desconocido
89,1,0,"Davidson, Mr. Thornton",Hombre,31.0,F.C. 12750,52.0,B71,Desconocido,Desconocido,"Montreal, PQ"
90,1,1,"Davidson, Mrs. Thornton (Orian Hays)",Mujer,27.0,F.C. 12750,52.0,B71,3,Desconocido,"Montreal, PQ"
91,1,1,"Dick, Mr. Albert Adrian",Hombre,31.0,17474,57.0,B20,3,Desconocido,"Calgary, AB"
92,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",Mujer,17.0,17474,57.0,B20,3,Desconocido,"Calgary, AB"
93,1,1,"Dodge, Dr. Washington",Hombre,53.0,33638,81.0,A34,13,Desconocido,"San Francisco, CA"
94,1,1,"Dodge, Master. Washington",Hombre,4.0,33638,81.0,A34,5,Desconocido,"San Francisco, CA"
95,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",Mujer,54.0,33638,81.0,A34,5,Desconocido,"San Francisco, CA"
96,1,0,"Douglas, Mr. Walter Donald",Hombre,50.0,PC 17761,106.0,C86,Desconocido,62.0,"Deephaven, MN / Cedar Rapids, IA"
97,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Mujer,27.0,PC 17558,247.0,B58 B60,6,Desconocido,"Montreal, PQ"
98,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",Mujer,48.0,PC 17761,106.0,C86,2,Desconocido,"Deephaven, MN / Cedar Rapids, IA"
99,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Mujer,48.0,11755,39.0,A16,1,Desconocido,London / Paris
100,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Hombre,49.0,PC 17485,56.0,A20,1,Desconocido,London / Paris
101,1,0,"Dulles, Mr. William Crothers",Hombre,39.0,PC 17580,29.0,A18,Desconocido,133.0,"Philadelphia, PA"
